timestamp,value
2014-07-01 00:00:00,9485.5
2014-07-01 00:42:00,6210.0
2014-07-01 01:24:00,4238.0
2014-07-01 02:06:00,2873.0
2014-07-01 02:48:00,2369.0
2014-07-01 03:30:00,2142.5
2014-07-01 04:12:00,2158.0
2014-07-01 04:54:00,3439.5
2014-07-01 05:36:00,6526.0
2014-07-01 06:18:00,11039.0
2014-07-01 07:00:00,14861.0
2014-07-01 07:42:00,17920.0
2014-07-01 08:24:00,19942.5
2014-07-01 09:06:00,20107.0
2014-07-01 09:48:00,18984.0
2014-07-01 10:30:00,17484.5
2014-07-01 11:12:00,18463.0
2014-07-01 11:54:00,18897.0
2014-07-01 12:36:00,18178.0
2014-07-01 13:18:00,19459.0
2014-07-01 14:00:00,20068.5
2014-07-01 14:42:00,19380.0
2014-07-01 15:24:00,17386.0
2014-07-01 16:06:00,15013.0
2014-07-01 16:48:00,17203.0
2014-07-01 17:30:00,21245.5
2014-07-01 18:12:00,27598.0
2014-07-01 18:54:00,25865.5
2014-07-01 19:36:00,22875.0
2014-07-01 20:18:00,20394.0
2014-07-01 21:00:00,23920.0
2014-07-01 21:42:00,23318.0
2014-07-01 22:24:00,20918.5
2014-07-01 23:06:00,16111.0
2014-07-01 23:48:00,13370.0
2014-07-02 00:30:00,8758.0
2014-07-02 01:12:00,5917.0
2014-07-02 01:54:00,4227.0
2014-07-02 02:36:00,2993.0
2014-07-02 03:18:00,2535.0
2014-07-02 04:00:00,2527.5
2014-07-02 04:42:00,2868.0
2014-07-02 05:24:00,5635.0
2014-07-02 06:06:00,11078.0
2014-07-02 06:48:00,13729.0
2014-07-02 07:30:00,17928.0
2014-07-02 08:12:00,19953.0
2014-07-02 08:54:00,19248.0
2014-07-02 09:36:00,17311.0
2014-07-02 10:18:00,17904.0
2014-07-02 11:00:00,17861.0
2014-07-02 11:42:00,19134.0
2014-07-02 12:24:00,18963.0
2014-07-02 13:06:00,19078.0
2014-07-02 13:48:00,18546.0
2014-07-02 14:30:00,18280.0
2014-07-02 15:12:00,16624.0
2014-07-02 15:54:00,14261.0
2014-07-02 16:36:00,17430.0
2014-07-02 17:18:00,21919.0
2014-07-02 18:00:00,24072.5
2014-07-02 18:42:00,24887.0
2014-07-02 19:24:00,24440.5
2014-07-02 20:06:00,18259.0
2014-07-02 20:48:00,20844.0
2014-07-02 21:30:00,22488.5
2014-07-02 22:12:00,19056.0
2014-07-02 22:54:00,16412.5
2014-07-02 23:36:00,12646.0
2014-07-03 00:18:00,10562.0
2014-07-03 01:00:00,7757.0
2014-07-03 01:42:00,5826.0
2014-07-03 02:24:00,3826.5
2014-07-03 03:06:00,2948.0
2014-07-03 03:48:00,3146.0
2014-07-03 04:30:00,3038.5
2014-07-03 05:12:00,4592.0
2014-07-03 05:54:00,8299.5
2014-07-03 06:36:00,12240.0
2014-07-03 07:18:00,14574.0
2014-07-03 08:00:00,17844.0
2014-07-03 08:42:00,18350.0
2014-07-03 09:24:00,16657.5
2014-07-03 10:06:00,16409.0
2014-07-03 10:48:00,15893.0
2014-07-03 11:30:00,17191.0
2014-07-03 12:12:00,18665.0
2014-07-03 12:54:00,19153.0
2014-07-03 13:36:00,19363.0
2014-07-03 14:18:00,19078.0
2014-07-03 15:00:00,17414.0
2014-07-03 15:42:00,14615.0
2014-07-03 16:24:00,15383.5
2014-07-03 17:06:00,19595.0
2014-07-03 17:48:00,21328.0
2014-07-03 18:30:00,26323.0
2014-07-03 19:12:00,21501.0
2014-07-03 19:54:00,22436.0
2014-07-03 20:36:00,22663.0
2014-07-03 21:18:00,19573.0
2014-07-03 22:00:00,16871.0
2014-07-03 22:42:00,16166.0
2014-07-03 23:24:00,15805.5
2014-07-04 00:06:00,14395.0
2014-07-04 00:48:00,12535.0
2014-07-04 01:30:00,10660.5
2014-07-04 02:12:00,8404.0
2014-07-04 02:54:00,6889.0
2014-07-04 03:36:00,5657.0
2014-07-04 04:18:00,4474.0
2014-07-04 05:00:00,3367.5
2014-07-04 05:42:00,3595.0
2014-07-04 06:24:00,4534.0
2014-07-04 07:06:00,4926.0
2014-07-04 07:48:00,5165.0
2014-07-04 08:30:00,6557.0
2014-07-04 09:12:00,7839.0
2014-07-04 09:54:00,9177.0
2014-07-04 10:36:00,11024.0
2014-07-04 11:18:00,13231.0
2014-07-04 12:00:00,13675.0
2014-07-04 12:42:00,15574.0
2014-07-04 13:24:00,16353.0
2014-07-04 14:06:00,18265.0
2014-07-04 14:48:00,16575.0
2014-07-04 15:30:00,15560.0
2014-07-04 16:12:00,13469.0
2014-07-04 16:54:00,11890.5
2014-07-04 17:36:00,15487.0
2014-07-04 18:18:00,15077.0
2014-07-04 19:00:00,14743.0
2014-07-04 19:42:00,14415.0
2014-07-04 20:24:00,13916.0
2014-07-04 21:06:00,14021.0
2014-07-04 21:48:00,15593.0
2014-07-04 22:30:00,17286.5
2014-07-04 23:12:00,18035.0
2014-07-04 23:54:00,16882.5
2014-07-05 00:36:00,14441.0
2014-07-05 01:18:00,12535.0
2014-07-05 02:00:00,10078.5
2014-07-05 02:42:00,8010.0
2014-07-05 03:24:00,6751.5
2014-07-05 04:06:00,4421.0
2014-07-05 04:48:00,3126.0
2014-07-05 05:30:00,2532.0
2014-07-05 06:12:00,3148.0
2014-07-05 06:54:00,4001.5
2014-07-05 07:36:00,4682.0
2014-07-05 08:18:00,6248.0
2014-07-05 09:00:00,8232.0
2014-07-05 09:42:00,10280.0
2014-07-05 10:24:00,11541.5
2014-07-05 11:06:00,13098.0
2014-07-05 11:48:00,12623.0
2014-07-05 12:30:00,13147.0
2014-07-05 13:12:00,13349.0
2014-07-05 13:54:00,13769.0
2014-07-05 14:36:00,13919.0
2014-07-05 15:18:00,14203.0
2014-07-05 16:00:00,13443.5
